Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,1789,3976,55,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1044,2321,55,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,1481,3292,55,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1161,2580,55,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3258,7240,55,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,943,2096,55,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,4544,10097,55,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,4544,10097,55,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1286,2858,55,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,1341,2981,55,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1161,2580,55,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,186,413,55,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1062,1455,27,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1161,2580,55,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,3858,8574,55,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1166,2592,55,Ограничено
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,758,1685,55,На складе
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,4544,10097,55,Ограничено
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2206,4903,55,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,3258,7240,55,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1372,1759,22,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1272,2826,55,Ограничено
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1034,2297,55,На складе
