Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,2426,5390,55,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,934,2075,55,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1327,1701,22,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),880,1206,27,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,407,905,55,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,500,1110,55,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2286,5081,55,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1440,1846,22,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1044,2321,55,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2322,5159,55,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1161,2580,55,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1277,2837,55,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1558,1998,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1030,2288,55,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,3858,8574,55,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,3858,8574,55,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3258,7240,55,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,1857,4127,55,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1161,2580,55,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1393,3095,55,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1153,2563,55,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,638,1417,55,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1044,2321,55,На складе
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер:Библиотека программиста,1888,2421,22,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1512,1938,22,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,3858,8574,55,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3258,7240,55,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1509,3354,55,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,454,1008,55,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1393,3095,55,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,1750,3888,55,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,700,1556,55,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,1854,4120,55,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,768,1706,55,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1859,2546,27,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1286,2858,55,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1161,2580,55,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1393,3095,55,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1161,2580,55,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,1517,3370,55,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1818,2491,27,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1044,2321,55,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1044,2321,55,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,898,1996,55,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,747,1659,55,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,929,2064,55,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,4968,11040,55,На складе
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,3258,7240,55,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,781,1001,22,На складе
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,696,1547,55,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,556,1236,55,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,725,1612,55,Ограничено
Программируем на Python,Доусон Майкл,Питер,1258,1613,22,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,934,2075,55,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,4968,11040,55,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,1972,4383,55,Ограничено
Введение в системы баз данных,Дейт К. Дж.,Диалектика,4968,11040,55,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1364,1749,22,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,929,2064,55,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,2531,3245,22,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1820,2333,22,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,720,1601,55,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,949,2109,55,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1161,2580,55,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1544,3431,55,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,906,2013,55,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1731,2219,22,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,3858,8574,55,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1030,2288,55,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,4544,10097,55,На складе
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,4544,10097,55,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,4544,10097,55,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3258,7240,55,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,3858,8574,55,На складе
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1544,3431,55,На складе
Язык программирования Go,"Керниган Брайан, Донован Алан А. А.",Диалектика,1972,4383,55,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1166,2592,55,На складе
Java. Полное руководство,Шилдт Герберт,Вильямс,4277,9504,55,На складе
Исследование операций,Таха Хемди А.,Диалектика,2573,5717,55,Ограничено
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,772,1715,55,Ограничено
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,2573,5717,55,На складе
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3258,7240,55,Ограничено
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1422,3161,55,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,813,1806,55,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,2157,2766,22,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,945,1211,22,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1103,2450,55,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,752,964,22,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1594,2043,22,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2179,2793,22,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1161,2580,55,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,929,2064,55,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,466,1035,55,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,929,2064,55,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1419,1819,22,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1044,2321,55,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1035,2301,55,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1103,2450,55,На складе
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,4715,10478,55,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,900,2000,55,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,970,2155,55,На складе
Математика на Python. Часть 1. Элементы линейной алгебры,Александрова Ирина Александровна и др.,Прометей,242,537,55,На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,268,596,55,Ограничено
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,961,2136,55,На складе
Программист-фанатик,Фаулер Чед,Питер:Библиотека программиста,687,881,22,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,4968,11040,55,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,2334,5186,55,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1044,2321,55,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,813,1806,55,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,3858,8574,55,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2334,5186,55,Ограничено
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1062,1455,27,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,450,1001,55,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,4968,11040,55,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,4968,11040,55,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1286,2858,55,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2334,5186,55,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,3258,7240,55,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1044,2321,55,На складе
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,352,783,55,Ограничено
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1297,1663,22,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,986,2192,55,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,1945,4322,55,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1103,2450,55,На складе
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,1393,3095,55,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2573,5717,55,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,1789,3976,55,На складе
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2090,4644,55,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,753,1674,55,На складе
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,258,574,55,Ограничено
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1062,1455,27,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2165,2966,27,На складе
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,1972,4383,55,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,813,1806,55,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,753,1674,55,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,639,1421,55,Ограничено
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,1509,3354,55,На складе
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1161,2580,55,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1165,1596,27,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,6210,13800,55,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,4122,9159,55,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,522,1161,55,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),650,890,27,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1103,2450,55,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2573,5717,55,На складе
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,856,1172,27,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1044,2321,55,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1103,2450,55,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1084,2409,55,На складе
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,4968,11040,55,На складе
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,466,1035,55,На складе
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс: ,3258,7240,55,На складе
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,3500,7778,55,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,760,1041,27,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1103,2450,55,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,813,1806,55,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,522,1161,55,Ограничено
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,293,650,55,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",1789,3976,55,Ограничено
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1277,2837,55,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,813,1806,55,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,522,1161,55,Ограничено
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,410,911,55,На складе
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,410,911,55,Ограничено
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,3858,8574,55,На складе
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер:Бестселлеры O`Reilly,2348,3010,22,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,581,1290,55,На складе
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1044,2321,55,На складе
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1359,3019,55,На складе
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,2670,5934,55,На складе
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,1886,4191,55,Ограничено
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер:Для профессионалов,1949,2499,22,На складе
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,2588,3318,22,На складе
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,292,648,55,На складе
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2201,4892,55,На складе
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,1991,4425,55,На складе
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,322,716,55,На складе
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1153,2563,55,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1153,2563,55,На складе
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3249,4166,22,На складе
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1161,2580,55,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1552,3449,55,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1509,3354,55,На складе
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,1509,3354,55,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1359,3019,55,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1277,2837,55,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,2322,5159,55,На складе
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,469,1042,55,На складе
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,875,1944,55,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,1416,1816,22,На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,646,1436,55,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),1949,2499,22,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,825,1833,55,Ограничено
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2573,5717,55,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1167,1599,27,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1164,2587,55,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,1069,1370,22,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,1093,1401,22,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1499,2053,27,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1703,2183,22,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1782,2284,22,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1257,2794,55,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,2653,5895,55,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1161,2580,55,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,965,1322,27,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1153,2563,55,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,1886,4191,55,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,664,1475,55,На складе
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1138,2528,55,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1043,2318,55,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,2206,4903,55,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1161,2580,55,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,3309,4242,22,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,2078,2846,27,На складе
SQL за 10 минут,Форта Бен,Вильямс,1286,2858,55,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1431,1835,22,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,2600,3333,22,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,3757,4817,22,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,4544,10097,55,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,1625,3611,55,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1334,2964,55,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,913,2029,55,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1214,2698,55,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1087,1393,22,На складе
